Hint_\t,Yellow row will be inseted to the database_\t,_\t,_\t,_\t,_\t,_\t,_\t,
config_clone_option_at_product_\t,product_id_\t,9_\t,62_\t,33.3_\t,35.2_\t,2_\t,_\t,0
config_clone_option_at_product_\t,product_id_\t,9_\t,62_\t,33.3_\t,35.3_\t,2_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,2_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,5_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,6_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,8_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,9_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,10_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,18_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,19_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,22_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,23_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,54_\t,3_\t,_\t,_\t,_\t,0
color_exclude_setting_\t,product_id_\t,10_\t,55_\t,3_\t,_\t,_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,66_\t,10_\t,spec10_\t,Atis_\t,Casement (Camlatch)_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,67_\t,10_\t,spec10_\t,Atis_\t,Casement (Operator)_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,70_\t,10_\t,spec10_\t,Atis_\t,Awning (Slit)_\t,_\t,0
config_add_option_gapcover_\t,m_model_id_\t,67_\t,10_\t,option11_\t,Atis_\t,Casement (Operator)_\t,_\t,0
config_add_option_gapcover_\t,m_model_id_\t,69_\t,10_\t,option11_\t,Atis_\t,Awning (Operator)_\t,_\t,0
config_add_option_gapcover_\t,m_model_id_\t,70_\t,10_\t,option11_\t,Atis_\t,Awning (Slit)_\t,_\t,0
